Day,Ini_Hour,End_Hour,TotalDuration,Dist_Preview_Point,Vel_Media,POI_Category,Profession,Have_Car,ACTIVITY
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
Weekend,Night,Night,Long,Null,Null,ALIMENTACAO,Academic,Yes,DINNING
